selection-sort :
    rand :
        10k :100019998
        30k :900059998
        50k :2500099998
        100k :10000199998
        300k :90000599998
        500k :250000999998
    sorted :
        10k :100019998
        30k :900059998
        50k :2500099998
        100k :10000199998
        300k :90000599998
        500k :250000999998
    reverse :
        10k :100019998
        30k :900059998
        50k :2500099998
        100k :10000199998
        300k :90000599998
        500k :250000999998
    nearlysort :
        10k :100019998
        30k :900059998
        50k :2500099998
        100k :10000199998
        300k :90000599998
        500k :250000999998
...............................
insertion-sort :
    rand :
        10k :50213769
        30k :449530505
        50k :1253503541
        100k :4990860783
        300k :44968618699
        500k :125061361039
    sorted :
        10k :19999
        30k :59999
        50k :99999
        100k :199999
        300k :599999
        500k :999999
    reverse :
        10k :100009999
        30k :900029999
        50k :2500049999
        100k :10000099999
        300k :90000299999
        500k :250000499999
    nearlysort :
        10k :191871
        30k :359431
        50k :631587
        100k :731587
        300k :1131587
        500k :1445327
...............................
bubble-sort :
    rand :
        10k :100010001
        30k :900030001
        50k :2500050001
        100k :10000100001
        300k :90000300001
        500k :250000500001
    sorted :
        10k :100010001
        30k :900030001
        50k :2500050001
        100k :10000100001
        300k :90000300001
        500k :250000500001
    reverse :
        10k :100010001
        30k :900030001
        50k :2500050001
        100k :10000100001
        300k :90000300001
        500k :250000500001
    nearlysort :
        10k :100010001
        30k :900030001
        50k :2500050001
        100k :10000100001
        300k :90000300001
        500k :250000500001
...............................
shaker-sort :
    rand :
        10k :75032353
        30k :674560075
        50k :1879722156
        100k :7479641204
        300k :67449024501
        500k :187711650940
    sorted :
        10k :40000
        30k :120000
        50k :200000
        100k :400000
        300k :1200000
        500k :2000000
    reverse :
        10k :125010001
        30k :1125030001
        50k :3125050001
        100k :12500100001
        300k :112500300001
        500k :312500500001
    nearlysort :
        10k :244555
        30k :512095
        50k :873637
        100k :1073637
        300k :1873637
        500k :2640775
...............................
shell-sort :
    rand :
        10k :493007
        30k :1675758
        50k :3202551
        100k :7244950
        300k :24726677
        500k :44355067
    sorted :
        10k :360029
        30k :1170036
        50k :2100034
        100k :4500035
        300k :15300043
        500k :25500040
    reverse :
        10k :402615
        30k :1317062
        50k :2397352
        100k :5144633
        300k :17200985
        500k :28928830
    nearlysort :
        10k :386459
        30k :1230356
        50k :2213100
        100k :4613101
        300k :15386137
        500k :25571084
...............................
heap-sort :
    rand :
        10k :637620
        30k :2149851
        50k :3771796
        100k :8044506
        300k :26488134
        500k :45967920
    sorted :
        10k :670329
        30k :2236648
        50k :3925351
        100k :8365080
        300k :27413230
        500k :47404886
    reverse :
        10k :606771
        30k :2063324
        50k :3612724
        100k :7718943
        300k :25569379
        500k :44483348
    nearlysort :
        10k :670024
        30k :2236492
        50k :3925280
        100k :8364302
        300k :27413138
        500k :47404970
...............................
merge-sort :
    rand :
        10k :583509
        30k :1937520
        50k :3383316
        100k :7166486
        300k :23383302
        500k :40382315
    sorted :
        10k :475242
        30k :1559914
        50k :2722826
        100k :5745658
        300k :18645946
        500k :32017850
    reverse :
        10k :476441
        30k :1573465
        50k :2733945
        100k :5767897
        300k :18708313
        500k :32336409
    nearlysort :
        10k :509584
        30k :1647072
        50k :2824500
        100k :5847332
        300k :18760053
        500k :32125464
...............................
quick-sort :
    rand :
        10k :363850
        30k :1255164
        50k :2161575
        100k :4716795
        300k :14947565
        500k :27162978
    sorted :
        10k :272665
        30k :908979
        50k :1605213
        100k :3410391
        300k :11143355
        500k :19052603
    reverse :
        10k :277676
        30k :923981
        50k :1630215
        100k :3460393
        300k :11293366
        500k :19302605
    nearlysort :
        10k :272683
        30k :908999
        50k :1605235
        100k :3410413
        300k :11143369
        500k :19052617
...............................
counting-sort :
    rand :
        10k :69995
        30k :209991
        50k :332762
        100k :632762
        300k :1832762
        500k :3032762
    sorted :
        10k :60002
        30k :180002
        50k :300002
        100k :600002
        300k :1800002
        500k :3000002
    reverse :
        10k :70001
        30k :210001
        50k :350001
        100k :700001
        300k :2100001
        500k :3500001
    nearlysort :
        10k :69476
        30k :206021
        50k :330054
        100k :630054
        300k :1830054
        500k :3028804
...............................
radix-sort :
    rand :
        10k :140107
        30k :510133
        50k :850133
        100k :1700133
        300k :5100133
        500k :8500133
    sorted :
        10k :140107
        30k :510133
        50k :850133
        100k :1700133
        300k :6000159
        500k :10000159
    reverse :
        10k :140107
        30k :510133
        50k :850133
        100k :1700133
        300k :6000159
        500k :10000159
    nearlysort :
        10k :140107
        30k :510133
        50k :850133
        100k :1700133
        300k :6000159
        500k :10000159
...............................
flash-sort :
    rand :
        10k :104642
        30k :294000
        50k :505748
        100k :926041
        300k :2740561
        500k :4564656
    sorted :
        10k :123492
        30k :370492
        50k :617492
        100k :1234992
        300k :3704995
        500k :6174992
    reverse :
        10k :108251
        30k :324751
        50k :541251
        100k :1082501
        300k :3247501
        500k :5412501
    nearlysort :
        10k :123468
        30k :370469
        50k :617467
        100k :1234965
        300k :3704968
        500k :6174969
...............................
